token_mint_address,telegram_chat_id,token_symbol,token_name,required_holdings,creator_wallet_address,created_at,telegram_username
DMeZKC7t3RRAe8SPCHjzc8ACyYN7cN1yrUVrXEYBGqBv,2658704055,TEST,Test Token,0,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745162683,NULL
7aRd5AAc4BZ1eP9yWfBT6P4WZiqmuYjuJK8n7WQjm3gT,2515051315,TEST,Test Token,0,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745172168,NULL
9EfdJU6nVjkBpd5Vs6TrkT3Q43Cvm2QQ3e284Tq9Etda,2595508539,TEST,Test Token,0,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745173252,NULL
B4uej9snPcJyA3ZEMF6mrHAVqjB91A7gyhSCG2EK6vds,2585254393,broo,bro,0,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745191590,NULL
EhQ4Jr6VkrrcHLVYDuhp63cnckaLhjoQyWp5V9hycwxr,2563025155,VEST,testy,0,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745208636,NULL
AdeFivkysz9YPcXVibf1WBMgNNonPQwv4kvE1m5wPXp3,2524322652,TY,ty,0,NAMEPoWfnM4c1F9EoXcUgsQPwXZiy6pYpnTPM71aDwj,1745210283,NULL
2bUUkFziuv5ejjZxdgMHsNTF4atqFvuCaYTTVmf16nbp,2575520791,tok,tokie,0,NAMEPoWfnM4c1F9EoXcUgsQPwXZiy6pYpnTPM71aDwj,1745211277,NULL
CqWjFZSKyhsWapX5SWuk12QnRbY8jWqaX2jBffEgDQ7C,2564274597,dog,DAWG,0,NAMEPoWfnM4c1F9EoXcUgsQPwXZiy6pYpnTPM71aDwj,1745211375,NULL
GAqfhTTH2KpoZ3vH1AvyzoYt3oj2zacxVosTA37eQS5k,2638753146,lgtm,lgtm,100000000000,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745253259,lgtmholdersnb9e5
7f2CJx18CdhvQKmQzTqpJceVGrynJSf34utFZnLpK9oo,2629776288,dav,david,10000000000000,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745256636,davholders4wpoh
27roUGa87bGpyYGnxUfVMaC2UZFmrjYmqxyn1Ehn8NYL,2647559440,pool,pool,100000000,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745295906,poolholdersibl5r
3gkhciPAAajrA38KiPokABR86dtAgbRkaZBtiXXUarL8,2669359811,vert,vert,100000000,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745296126,vertholdersgiovz
CaQ2MBbsavsCshBHYiwatvC8YMX5i8QTYeVNYBivkg8X,2473542237,das,ds,100000000,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745300031,dasholdersc4tp6
7HC8kW5Bb42ycKo5MEqUMeJyzfz4n5yJfimbHZ9w9FK4,,s,see,100000000,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745342711,
hYG5RwBW6apaZ1qwqFgriidGSrdgUpFF9k7AaCk47GM,2549809973,wo,work,100000000,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745342926,woholdersj6dke
99wTP7P6ZgCGfCh7zDzWD7tY8wytg9wJFgec4Qsn6kob,2638638823,yes,yes,100000000,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745343008,yesholderspvrfm
8AodgmY7nKSDrYYDh7AN9g7ukD1aiE8DAi3XKRxoe4fv,2661104023,noo,no,100000000,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745758246,nooholderstxjdk
6PMzMYWcRmNv9fSW186F4WHqpAWzbkSeAnn1iABbhogv,2642110131,fee,fees,100000000,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745759167,feeholderstdq6b
7UJ53zWDsUUjuUf6NYM9Xw2uxkyNnDqhHbp88A7pReWd,2600584961,wow,wow,100000000,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745762180,wowholdersuzw4s
BYr2fwVBFYUSLWokTixJXgihcSckKoioudGY8JeGkTxL,2560400674,think,thinking,100000000,8jTiTDW9ZbMHvAD9SZWvhPfRx5gUgK7HACMdgbFp2tUz,1745763269,thinkholders54e4b
EA7Bnnm1nGPYn2AuJsoDxGRyWGASaP8tJhwggoZEkNCv,2692317130,geoff,geoff,100000000,BprhcaJtUTER4e3ArGYC1bmgjqvyuh1rovY3p8dgv2Eq,1745885498,geoffholderstc79z